										
2023 09 08 20	0.85	5.78	10.01	333	0.0	180	0.79	8.69	332	0.21	3.0	322
2023 09 08 21	0.85	5.62	10.01	333	0.06	33	0.78	8.71	332	0.32	2.91	339
2023 09 08 22	0.84	5.46	10.01	334	0.08	34	0.76	8.64	332	0.33	2.93	340
2023 09 08 23	0.83	5.39	10.01	334	0.08	39	0.75	8.58	332	0.33	2.92	341
2023 09 09 00	0.82	5.44	10.01	334	0.0	180	0.74	8.52	332	0.33	2.77	343
2023 09 09 01	0.8	5.51	10.01	334	0.0	180	0.73	8.47	332	0.32	2.79	343
2023 09 09 02	0.78	5.54	10.01	334	0.0	180	0.72	8.43	332	0.31	2.78	344
2023 09 09 03	0.77	5.61	10.01	334	0.0	180	0.71	8.33	332	0.29	2.74	346
2023 09 09 04	0.75	5.65	10.01	334	0.0	180	0.7	8.07	332	0.26	2.6	348
2023 09 09 05	0.74	5.67	10.01	334	0.0	180	0.74	5.67	334	0.02	8.14	15
2023 09 09 06	0.72	5.69	10.01	334	0.0	180	0.72	5.69	334	0.02	8.14	15
2023 09 09 07	0.71	5.69	10.01	334	0.0	180	0.71	5.65	334	0.09	13.04	310
2023 09 09 08	0.71	5.41	10.01	334	0.04	17	0.7	5.59	334	0.09	13.02	310
2023 09 09 09	0.72	5.09	10.01	334	0.0	180	0.71	5.05	334	0.09	13.0	310
2023 09 09 10	0.73	4.96	10.01	334	0.03	19	0.65	7.36	333	0.12	13.47	320
2023 09 09 11	0.72	4.97	10.01	334	0.0	180	0.71	4.9	335	0.12	13.46	320
2023 09 09 12	0.72	5.03	10.01	334	0.0	180	0.7	4.96	334	0.12	13.43	320
2023 09 09 13	0.7	5.11	9.1	334	0.0	180	0.69	5.04	334	0.13	13.41	321
2023 09 09 14	0.69	5.2	9.1	334	0.03	23	0.67	5.22	334	0.13	13.39	321
2023 09 09 15	0.67	5.31	9.1	334	0.0	180	0.66	5.26	334	0.09	12.89	311
2023 09 09 16	0.66	5.38	9.1	334	0.0	180	0.64	5.26	335	0.15	12.74	320
2023 09 09 17	0.65	5.4	9.1	334	0.0	180	0.63	5.27	335	0.15	12.71	319
2023 09 09 18	0.64	5.33	9.1	334	0.0	180	0.62	5.21	335	0.15	12.67	319
2023 09 09 19	0.64	5.23	9.1	334	0.0	180	0.62	5.1	335	0.15	12.63	319
2023 09 09 20	0.64	5.1	9.1	334	0.0	180	0.61	4.96	335	0.16	12.57	320
2023 09 09 21	0.63	4.99	9.1	334	0.0	180	0.61	4.85	335	0.16	12.52	320
2023 09 09 22	0.63	4.91	9.1	334	0.0	180	0.61	4.77	335	0.16	12.48	320
2023 09 09 23	0.63	4.88	9.1	334	0.0	180	0.61	4.75	335	0.16	12.44	320
2023 09 10 00	0.62	4.95	9.1	334	0.0	180	0.6	4.81	335	0.16	12.4	320
2023 09 10 01	0.61	5.07	9.1	334	0.0	180	0.59	4.93	335	0.15	12.35	320
2023 09 10 02	0.6	5.21	9.1	334	0.0	180	0.58	5.06	335	0.15	12.31	320
2023 09 10 03	0.59	5.35	9.1	334	0.0	180	0.57	5.2	335	0.15	12.27	320
2023 09 10 04	0.59	5.47	9.1	334	0.0	180	0.56	5.32	335	0.15	12.23	319
2023 09 10 05	0.58	5.56	9.1	334	0.0	180	0.56	5.41	335	0.15	12.19	319
2023 09 10 06	0.58	5.61	9.1	334	0.0	180	0.56	5.46	335	0.15	12.15	319
2023 09 10 07	0.57	5.61	9.1	335	0.0	180	0.55	5.47	335	0.14	12.09	319
2023 09 10 08	0.57	5.61	9.1	335	0.0	180	0.55	5.47	336	0.14	12.05	318
2023 09 10 09	0.57	5.63	9.1	335	0.0	180	0.55	5.5	336	0.14	12.02	318
2023 09 10 10	0.57	5.67	9.1	335	0.0	180	0.55	5.54	336	0.14	11.98	318
2023 09 10 11	0.57	5.72	9.1	335	0.0	180	0.56	5.64	336	0.11	11.6	311
2023 09 10 12	0.57	5.78	9.1	336	0.0	180	0.56	5.71	336	0.1	11.57	311
2023 09 10 13	0.57	5.85	9.1	336	0.0	180	0.55	5.69	337	0.15	11.39	318
2023 09 10 14	0.58	5.92	9.1	336	0.0	180	0.52	5.52	335	0.19	9.72	354
2023 09 10 15	0.58	5.99	9.1	337	0.0	180	0.51	5.55	335	0.21	9.76	354
2023 09 10 16	0.58	6.05	9.1	337	0.0	180	0.51	5.58	335	0.23	9.76	354
2023 09 10 17	0.59	6.11	9.1	338	0.0	180	0.51	5.58	335	0.25	9.55	354
2023 09 10 18	0.59	6.17	9.1	338	0.0	180	0.51	5.58	335	0.51	17.75	354
2023 09 10 19	0.6	6.22	9.1	339	0.0	180	0.49	5.52	335	0.49	15.42	354
2023 09 10 20	0.61	6.2	9.1	340	0.0	180	0.49	5.45	335	0.49	14.54	354
2023 09 10 21	0.62	5.96	9.1	340	0.0	180	0.49	5.15	335	0.49	13.85	354
2023 09 10 22	0.63	5.66	9.1	341	0.0	180	0.5	4.82	335	0.5	13.4	354
2023 09 10 23	0.65	5.44	9.1	341	0.0	180	0.49	4.98	336	0.49	12.33	354
2023 09 11 00	0.66	5.37	9.1	341	0.0	180	0.47	6.28	334	0.47	11.33	354
2023 09 11 01	0.66	5.42	9.1	342	0.0	180	0.46	6.21	334	0.46	10.34	354
2023 09 11 02	0.66	5.47	9.1	342	0.03	29	0.49	4.56	335	0.49	10.85	354
2023 09 11 03	0.66	5.39	9.1	343	0.06	16	0.48	4.74	335	0.48	10.51	354
2023 09 11 04	0.67	5.14	9.1	343	0.09	15	0.48	5.45	335	0.48	10.31	354
2023 09 11 05	0.68	4.93	9.1	344	0.11	22	0.46	6.29	334	0.46	9.62	353
2023 09 11 06	0.68	4.86	9.1	344	0.08	32	0.45	8.95	353	0.44	6.38	332
2023 09 11 07	0.69	4.8	9.1	344	0.08	43	0.47	8.13	353	0.41	6.59	331
2023 09 11 08	0.69	4.76	9.1	344	0.08	52	0.47	8.27	353	0.4	6.69	331
2023 09 11 09	0.7	4.67	9.1	345	0.11	46	0.47	8.19	353	0.39	6.65	331
2023 09 11 10	0.7	4.62	9.1	345	0.13	43	0.47	8.15	353	0.39	6.71	331
2023 09 11 11	0.69	4.59	9.1	346	0.16	37	0.47	8.35	353	0.38	6.74	330
2023 09 11 12	0.69	4.55	9.1	346	0.17	37	0.47	8.32	353	0.38	6.51	330
2023 09 11 13	0.69	4.56	9.1	347	0.15	40	0.47	8.32	352	0.37	6.5	330
2023 09 11 14	0.69	4.58	9.1	347	0.15	37	0.47	8.3	352	0.37	6.51	330
2023 09 11 15	0.68	4.69	8.27	347	0.12	30	0.47	8.08	352	0.36	6.45	331
2023 09 11 16	0.67	4.73	8.27	347	0.13	29	0.48	8.05	352	0.39	4.72	331
2023 09 11 17	0.68	4.66	8.27	347	0.14	28	0.49	8.08	351	0.38	4.6	331
2023 09 11 18	0.69	4.47	8.27	348	0.18	26	0.49	8.09	350	0.33	6.31	330
2023 09 11 19	0.72	4.14	8.27	350	0.27	23	0.49	8.23	350	0.32	6.52	330
2023 09 11 20	0.77	3.91	8.27	351	0.33	26	0.48	8.36	350	0.3	6.75	330
2023 09 11 21	0.82	3.87	8.27	353	0.39	28	0.49	8.34	349	0.28	6.68	330
2023 09 11 22	0.85	3.91	8.27	355	0.42	32	0.48	8.45	349	0.22	14.47	341
2023 09 11 23	0.87	4.02	8.27	355	0.39	38	0.47	8.59	349	0.24	14.41	341
2023 09 12 00	0.86	4.29	8.27	354	0.23	49	0.46	8.56	349	0.27	14.25	341
2023 09 12 01	0.85	4.43	14.66	354	0.25	49	0.46	8.55	349	0.29	14.2	341
2023 09 12 02	0.85	4.49	14.66	354	0.26	48	0.52	8.18	345	0.32	14.08	342
2023 09 12 03	0.84	4.52	14.66	355	0.27	49	0.49	7.69	345	0.49	19.91	342
2023 09 12 04	0.84	4.56	14.66	355	0.27	49	0.54	7.73	344	0.54	20.65	342
2023 09 12 05	0.83	4.61	14.66	354	0.26	45	0.53	7.71	344	0.53	18.35	341
2023 09 12 06	0.84	4.64	14.66	354	0.26	44	0.35	14.22	345	0.22	12.6	332
2023 09 12 07	0.85	4.66	14.66	353	0.27	47	0.37	13.19	338	0.23	14.97	350
2023 09 12 08	0.85	4.71	14.66	353	0.26	48	0.39	13.16	338	0.23	14.95	350
2023 09 12 09	0.86	4.79	13.32	353	0.24	51	0.41	13.12	338	0.24	14.92	350
2023 09 12 10	0.87	4.83	13.32	352	0.26	51	0.55	6.7	343	0.55	14.8	341
2023 09 12 11	0.88	4.77	13.32	353	0.3	48	0.54	6.68	343	0.54	14.19	341
2023 09 12 12	0.9	4.64	13.32	354	0.38	43	0.53	7.01	343	0.53	13.26	341
2023 09 12 13	0.92	4.55	13.32	355	0.42	43	0.54	13.16	341	0.52	7.11	344
2023 09 12 14	0.93	4.57	13.32	355	0.42	43	0.56	12.9	340	0.5	6.99	344
2023 09 12 15	0.93	4.65	13.32	354	0.39	45	0.57	12.84	340	0.48	7.2	344
2023 09 12 16	0.92	4.75	13.32	354	0.33	47	0.58	12.78	340	0.41	7.64	339
2023 09 12 17	0.93	4.74	13.32	354	0.37	45	0.59	12.71	340	0.4	7.62	339
2023 09 12 18	0.94	4.74	13.32	354	0.34	45	0.6	12.64	340	0.4	7.59	339
2023 09 12 19	0.94	4.77	13.32	354	0.33	44	0.6	12.58	340	0.39	7.56	338
2023 09 12 20	0.96	4.71	13.32	354	0.38	40	0.61	12.46	340	0.39	7.44	338
2023 09 12 21	0.96	4.73	13.32	354	0.35	42	0.62	12.4	340	0.39	7.41	338
2023 09 12 22	0.97	4.72	13.32	354	0.37	42	0.63	12.31	340	0.38	7.35	337
2023 09 12 23	0.97	4.74	12.11	354	0.37	42	0.65	12.06	339	0.35	7.16	338
2023 09 13 00	0.96	4.87	12.11	354	0.27	50	0.65	12.01	339	0.43	6.73	343
2023 09 13 01	0.96	4.94	12.11	353	0.25	51	0.65	11.96	339	0.42	6.7	343
2023 09 13 02	0.96	4.93	12.11	353	0.27	47	0.66	11.91	339	0.42	6.68	343
2023 09 13 03	0.96	4.9	12.11	353	0.3	44	0.66	11.87	339	0.42	6.65	343
2023 09 13 04	0.98	4.81	12.11	354	0.34	43	0.66	11.82	339	0.41	6.71	344
2023 09 13 05	0.99	4.7	12.11	355	0.44	40	0.66	11.78	339	0.41	6.66	344
2023 09 13 06	1.0	4.7	12.11	355	0.41	43	0.67	11.74	339	0.36	7.2	341
2023 09 13 07	1.01	4.66	12.11	356	0.45	41	0.67	11.64	339	0.34	7.08	341
2023 09 13 08	1.02	4.68	12.11	356	0.42	44	0.74	10.29	338	0.44	3.72	4
2023 09 13 09	1.01	4.78	12.11	355	0.35	45	0.74	10.27	338	0.45	3.75	5
2023 09 13 10	1.0	4.92	12.11	354	0.27	47	0.75	10.25	338	0.44	3.78	352
2023 09 13 11	0.99	4.94	12.11	354	0.29	43	0.75	10.17	338	0.49	3.97	0
2023 09 13 12	0.99	4.87	12.11	354	0.33	41	0.75	10.09	338	0.48	4.0	0
2023 09 13 13	0.99	4.87	12.11	354	0.31	40	0.75	10.09	338	0.49	3.99	0
2023 09 13 14	0.99	4.9	12.11	354	0.3	37	0.75	10.08	338	0.48	4.03	358
2023 09 13 15	0.99	4.88	11.01	353	0.31	33	0.75	10.06	338	0.48	4.07	357
2023 09 13 16	1.0	4.82	11.01	353	0.34	33	0.75	10.05	338	0.48	4.06	357
2023 09 13 17	1.0	4.78	11.01	353	0.33	33	0.75	10.04	338	0.49	4.04	357
2023 09 13 18	1.0	4.81	11.01	353	0.28	32	0.74	10.03	338	0.51	3.96	358
2023 09 13 19	1.0	4.81	11.01	353	0.3	32	0.74	10.01	338	0.5	3.98	357
2023 09 13 20	1.0	4.77	11.01	353	0.31	31	0.74	10.0	338	0.5	4.01	357
2023 09 13 21	1.01	4.73	11.01	354	0.33	29	0.73	10.01	338	0.51	4.13	357
2023 09 13 22	1.04	4.55	11.01	355	0.48	26	0.73	9.96	337	0.49	4.3	356
2023 09 13 23	1.07	4.49	11.01	357	0.51	28	0.72	10.26	337	0.61	4.49	4
2023 09 14 00	1.08	4.53	11.01	357	0.5	30	0.71	10.23	337	0.63	4.51	5
2023 09 14 01	1.1	4.45	11.01	359	0.62	31	0.7	10.42	338	0.54	4.42	353
2023 09 14 02	1.12	4.47	11.01	0	0.58	34	0.68	10.66	338	0.61	4.51	357
2023 09 14 03	1.15	4.43	11.01	2	0.7	32	0.67	10.63	337	0.51	4.41	348
2023 09 14 04	1.15	4.49	11.01	2	0.63	34	0.67	4.77	5	0.67	10.68	337
2023 09 14 05	1.13	4.57	11.01	2	0.53	34	0.66	10.61	337	0.59	4.6	350
2023 09 14 06	1.1	4.68	11.01	1	0.4	34	0.66	10.57	337	0.59	4.47	350
2023 09 14 07	1.08	4.73	11.01	0	0.38	33	0.77	4.82	11	0.77	12.35	337
2023 09 14 08	1.06	4.77	11.01	0	0.33	33	0.76	4.78	12	0.76	12.29	337
2023 09 14 09	1.04	4.77	11.01	359	0.33	30	0.75	4.82	12	0.75	12.06	337
2023 09 14 10	1.03	4.75	11.01	359	0.32	29	0.64	10.4	337	0.63	4.58	2
2023 09 14 11	1.02	4.74	11.01	358	0.3	30	0.64	10.36	337	0.47	5.4	12
2023 09 14 12	1.02	4.59	11.01	359	0.41	29	0.63	10.33	337	0.36	5.68	47
2023 09 14 13	1.01	4.59	11.01	358	0.34	29	0.62	10.26	337	0.39	5.34	47
2023 09 14 14	0.99	4.67	11.01	357	0.27	28	0.62	10.22	337	0.47	5.16	40
2023 09 14 15	0.97	4.68	11.01	357	0.28	23	0.61	10.18	337	0.45	5.17	40
2023 09 14 16	0.97	4.63	11.01	356	0.28	18	0.6	10.14	337	0.45	5.08	40
2023 09 14 17	0.96	4.62	11.01	355	0.25	15	0.6	10.1	337	0.45	4.95	39
2023 09 14 18	0.96	4.65	11.01	355	0.2	13	0.59	10.08	337	0.51	4.0	350
2023 09 14 19	0.97	4.49	11.01	354	0.34	10	0.57	10.06	337	0.5	4.29	348
2023 09 14 20	0.99	4.35	11.01	355	0.4	17	0.61	4.54	348	0.61	10.83	337
2023 09 14 21	1.01	4.27	11.01	356	0.49	17	0.63	4.74	351	0.63	11.45	337
2023 09 14 22	1.02	4.27	11.01	357	0.47	24	0.68	4.65	353	0.68	12.42	336
2023 09 14 23	1.02	4.27	11.01	358	0.48	27	0.68	4.7	2	0.68	12.84	336
2023 09 15 00	1.01	4.32	11.01	359	0.43	31	0.63	4.68	0	0.63	11.9	336
2023 09 15 01	1.01	4.29	11.01	0	0.48	28	0.72	4.99	0	0.72	13.92	336
2023 09 15 02	1.03	4.25	11.01	0	0.56	26	0.7	5.1	358	0.7	13.64	336
2023 09 15 03	1.06	4.23	11.01	1	0.59	27	0.64	4.87	2	0.64	12.62	336
2023 09 15 04	1.07	4.32	5.65	1	0.5	30	0.7	4.78	6	0.7	14.9	336
2023 09 15 05	1.09	4.26	5.65	1	0.76	20	0.61	5.56	346	0.61	13.18	336
2023 09 15 06	1.07	4.4	5.65	0	0.48	26	0.68	5.18	346	0.68	14.93	336
2023 09 15 07	1.06	4.51	6.21	0	0.39	31	0.64	4.83	350	0.64	14.12	336
2023 09 15 08	1.04	4.6	6.21	359	0.33	32	0.88	5.1	2	0.88	19.4	336
2023 09 15 09	1.03	4.57	6.21	359	0.36	29	0.85	5.24	1	0.85	19.03	336
2023 09 15 10	1.02	4.55	6.21	359	0.36	26	0.85	5.27	1	0.85	18.98	336
2023 09 15 11	1.01	4.54	6.21	359	0.35	25	0.84	5.24	1	0.84	18.93	336
2023 09 15 12	0.99	4.55	6.21	359	0.33	25	0.83	5.18	1	0.83	18.87	336
2023 09 15 13	0.97	4.48	6.21	359	0.35	25	0.8	5.23	1	0.8	18.48	336
2023 09 15 14	0.96	4.45	6.83	359	0.35	26	0.8	5.17	1	0.8	18.49	336
2023 09 15 15	0.94	4.54	6.83	359	0.24	33	0.8	4.86	3	0.8	16.82	335
2023 09 15 16	0.91	4.64	6.83	358	0.21	34	0.74	4.8	8	0.74	15.71	335
2023 09 15 17	0.9	4.62	6.83	358	0.23	31	0.72	4.89	7	0.72	15.41	335
2023 09 15 18	0.89	4.6	6.83	358	0.22	25	0.71	4.87	8	0.71	15.57	335
2023 09 15 19	0.88	4.58	6.83	358	0.19	24	0.72	4.74	8	0.72	15.93	335
2023 09 15 20	0.88	4.63	6.83	358	0.15	26	0.73	4.65	8	0.73	16.27	335
2023 09 15 21	0.87	4.61	6.83	358	0.18	22	0.72	4.77	8	0.72	12.47	334
2023 09 15 22	0.87	4.44	6.83	359	0.27	19	0.7	4.92	7	0.7	12.37	334
2023 09 15 23	0.89	4.27	6.83	0	0.33	17	0.7	4.99	7	0.7	12.56	334
2023 09 16 00	0.9	4.24	6.83	0	0.31	15	0.7	4.74	6	0.7	12.79	334
2023 09 16 01	0.9	4.35	6.83	359	0.2	19	0.74	4.48	5	0.74	14.4	334
2023 09 16 02	0.89	4.37	6.83	359	0.23	11	0.56	4.5	349	0.56	10.97	334
2023 09 16 03	0.87	4.31	6.83	359	0.27	14	0.48	5.33	25	0.48	9.69	334
2023 09 16 04	0.85	4.32	6.83	359	0.24	14	0.48	5.21	25	0.48	10.01	334
2023 09 16 05	0.84	4.21	7.52	0	0.3	9	0.51	5.56	20	0.51	10.41	332
2023 09 16 06	0.81	4.31	7.52	0	0.19	19	0.51	5.34	20	0.51	10.8	332
2023 09 16 07	0.78	4.5	7.52	0	0.1	32	0.51	5.17	20	0.51	11.04	332
2023 09 16 08	0.76	4.62	7.52	0	0.07	31	0.5	5.13	20	0.5	11.2	332
2023 09 16 09	0.74	4.73	7.52	0	0.05	30	0.49	5.1	20	0.49	11.26	332
2023 09 16 10	0.72	4.83	7.52	0	0.03	29	0.46	4.87	22	0.46	10.87	332
2023 09 16 11	0.7	4.89	7.52	1	0.04	27	0.45	5.08	21	0.32	7.63	332
2023 09 16 12	0.69	4.97	7.52	1	0.0	180	0.45	4.95	21	0.35	5.16	331
2023 09 16 13	0.67	5.04	7.52	1	0.0	180	0.44	5.04	21	0.34	5.19	331
2023 09 16 14	0.66	5.11	7.52	1	0.0	180	0.55	4.97	12	0.33	5.21	330
2023 09 16 15	0.65	5.17	7.52	1	0.0	180	0.54	5.03	12	0.33	5.22	330
2023 09 16 16	0.64	5.21	7.52	1	0.0	180	0.54	5.08	12	0.31	5.17	330
2023 09 16 17	0.63	5.25	7.52	1	0.0	180	0.53	5.13	12	0.31	5.16	330
2023 09 16 18	0.63	5.29	7.52	1	0.0	180	0.52	5.16	12	0.3	5.16	330
2023 09 16 19	0.62	5.32	7.52	1	0.0	180	0.51	5.17	12	0.29	5.08	330
2023 09 16 20	0.61	5.32	7.52	1	0.0	180	0.51	5.15	12	0.28	5.01	329
2023 09 16 21	0.62	5.22	7.52	0	0.0	180	0.5	5.07	12	0.28	4.7	328
2023 09 16 22	0.63	5.01	7.52	358	0.0	180	0.5	4.91	12	0.19	11.69	334
2023 09 16 23	0.64	4.89	7.52	357	0.0	180	0.5	4.78	11	0.22	11.69	335
2023 09 17 00	0.65	4.92	7.52	356	0.0	180	0.53	4.26	6	0.34	8.33	333
2023 09 17 01	0.66	5.06	7.52	355	0.0	180	0.53	4.32	6	0.53	12.64	333
2023 09 17 02	0.67	5.17	12.11	355	0.0	180	0.49	4.73	11	0.49	6.46	332
2023 09 17 03	0.73	4.62	12.11	355	0.27	13	0.44	6.2	333	0.19	14.83	357
2023 09 17 04	0.85	4.13	12.11	357	0.4	19	0.46	9.0	336	0.21	14.32	356
2023 09 17 05	1.01	4.23	12.11	359	0.54	21	0.44	10.24	335	0.44	18.25	355
2023 09 17 06	1.17	4.5	12.11	0	0.61	25	0.41	12.48	353	0.27	15.95	4
2023 09 17 07	1.29	4.87	13.32	0	0.55	33	0.6	12.19	349	0.34	15.8	4
2023 09 17 08	1.43	5.15	13.32	0	0.63	30	0.7	12.16	350	0.42	15.68	4
2023 09 17 09	1.57	5.44	13.32	0	0.71	29	0.74	11.84	349	0.74	18.6	3
2023 09 17 10	1.69	5.79	13.32	359	0.54	40	0.86	11.5	350	0.86	18.57	3
2023 09 17 11	1.8	6.06	14.66	0	0.69	35	1.1	10.68	346	1.1	20.99	3
2023 09 17 12	1.87	6.52	14.66	359	0.37	47	1.2	10.69	347	1.2	20.66	3
2023 09 17 13	1.91	7.05	13.32	358	0.32	47	1.31	10.45	348	1.31	20.9	3
2023 09 17 14	1.96	7.45	13.32	357	0.3	47	1.43	9.17	348	1.43	21.25	3
2023 09 17 15	2.0	7.76	13.32	357	0.31	45	1.68	7.76	354	1.68	23.7	3
2023 09 17 16	2.05	7.83	13.32	357	0.39	37	1.69	8.22	353	1.69	22.81	3
2023 09 17 17	2.1	7.66	13.32	358	0.51	37	1.7	8.41	353	1.7	22.06	3
2023 09 17 18	2.16	7.53	13.32	359	0.55	39	1.53	7.71	352	1.53	15.12	1
2023 09 17 19	2.21	7.5	13.32	359	0.58	42	1.51	7.48	351	1.51	13.86	1
2023 09 17 20	2.25	7.62	13.32	359	0.59	43	1.55	13.72	1	1.43	7.86	349
2023 09 17 21	2.28	7.71	13.32	0	0.59	43	1.6	13.69	1	1.51	7.47	352
2023 09 17 22	2.3	7.8	13.32	0	0.58	44	2.23	9.47	357	0.01	5.65	85
2023 09 17 23	2.33	7.88	13.32	0	0.58	44	2.25	9.64	358	0.01	5.65	85
